Date,Sex,Department,likert_1,likert_2,likert_3,likert_4,likert_5,likert_6,likert_7,soru8,soru9,soru10,soru11,soru12,soru13
2023-05-11,Kadın,Kimya,3,3,4,4,2,4,2,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,Karşılıklı sevgi ve anlayış,4,24,9
2023-05-11,Kadın,Kimya,4,3,3,5,1,5,4,Kişinin karakteri ve kişilik özellikleri,Benzer ilgi alanlarına sahip olması,İletişim becerileri,6,87,12
2023-05-11,Kadın,Kimya,4,2,4,3,1,4,4,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,İletişim becerileri,1,56,15
2023-05-11,Kadın,Kimya,4,4,5,1,2,3,1,Kişinin maddi ve ekonomik durumu,Yalan söylememesi,Karşılıklı sevgi ve anlayış,2,11,2
2023-05-11,Kadın,Kimya,3,5,3,5,1,5,5,Kişinin maddi ve ekonomik durumu,İyi bir dinleyici olması,Karşılıklı sevgi ve anlayış,2,36,10
2023-05-11,Kadın,Kimya,3,2,3,2,2,2,3,Kişinin karakteri ve kişilik özellikleri,Empati yapabilmesi,İletişim becerileri,1,14,8
2023-05-11,Kadın,Kimya,5,1,5,5,1,5,5,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,İletişim becerileri,0,0,0
2023-05-11,Kadın,Kimya,4,2,5,4,1,3,3,Kişinin karakteri ve kişilik özellikleri,Yalan söylememesi,İletişim becerileri,3,18,28
2023-05-11,Kadın,Kimya,5,1,5,1,1,1,1,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,1,15,10
2023-05-11,Kadın,Kimya,1,5,5,3,1,1,3,Kişinin karakteri ve kişilik özellikleri,Mizah duygusunun olması,Karşılıklı sevgi ve anlayış,1,84,8
